288100ACS	1-ethyl-nicotinic acid	1--ethyl-nicotinic acid 37.5mg
127701BIJ	cefpiramide sodium	cefpiramide sodium 1g
127903ASY	cefpodoxime proxetil	cefpodoxime proxetil 10mg
127903ASY	cefpodoxime proxetil	cefpodoxime proxetil 10mg
128101ACH	cefroxadine	cefroxadine 250mg
128201BIJ	cefsulodin sodium	cefsulodin sodium 0.5g
128202BIJ	cefsulodin sodium	cefsulodin sodium 1g
128302BIJ	ceftazidime	ceftazidime 500mg
128301BIJ	ceftazidime	ceftazidime 1g
128401AGN	cefteram pivoxil	cefteram pivoxil 100mg
128503BIJ	ceftezole sodium	ceftezole sodium 500mg
128501BIJ	ceftezole sodium	ceftezole sodium 1g
128502BIJ	ceftezole sodium	ceftezole sodium 2g
128603ACH	ceftibuten	ceftibuten 100mg
128702BIJ	ceftizoxime sodium	ceftizoxime sodium 500mg
128701BIJ	ceftizoxime sodium	ceftizoxime sodium 1g
128802BIJ	ceftriaxone sodium	ceftriaxone sodium 250mg
128804BIJ	ceftriaxone sodium	ceftriaxone sodium 500mg
128801BIJ	ceftriaxone sodium	ceftriaxone sodium 1g
128802BIJ	ceftriaxone sodium	ceftriaxone sodium 250mg
128804BIJ	ceftriaxone sodium	ceftriaxone sodium 500mg
128801BIJ	ceftriaxone sodium	ceftriaxone sodium 1g
128803BIJ	ceftriaxone sodium	ceftriaxone sodium 2g
129002BIJ	cefuroxime sodium	cefuroxime sodium 250mg
129003BIJ	cefuroxime sodium	cefuroxime sodium 750mg
129001BIJ	cefuroxime sodium	cefuroxime sodium 1.5g
129002BIJ	cefuroxime sodium	cefuroxime sodium 250mg
129003BIJ	cefuroxime sodium	cefuroxime sodium 750mg
129001BIJ	cefuroxime sodium	cefuroxime sodium 1.5g
129203CCM	centella asiatica ext.	centella asiatica ext. 10mg
129203COM	centella asiatica ext.	centella asiatica ext. 10mg
129301BIJ	cephacetrile sodium	cephacetrile sodium 1g
129302BIJ	cephacetrile sodium	cephacetrile sodium 2g
129601BIJ	cephalexin sodium	cephalexin sodium 1g
129701BIJ	cephalothin sodium	cephalothin sodium 1g
129702BIJ	cephalothin sodium	cephalothin sodium 2g
129804BIJ	cephapirin sodium	cephapirin sodium 500mg
129801BIJ	cephapirin sodium	cephapirin sodium 1g
129802BIJ	cephapirin sodium	cephapirin sodium 2g
129803BIJ	cephapirin sodium	cephapirin sodium 4g
130003BIJ	cephazedone sodium	cephazedone sodium 500mg
130103ASY	cephradine	cephradine 25mg
130106ASY	cephradine	cephradine 50mg
130101ACH	cephradine	cephradine 250mg
130105ACH	cephradine	cephradine 500mg
130105BIJ	cephradine	cephradine 500mg
130102BIJ	cephradine	cephradine 1g
130201BIJ	cerebrolysin concentrate	cerebrolysin concentrate 214mg
130203BIJ	cerebrolysin concentrate	cerebrolysin concentrate 428mg
130205BIJ	cerebrolysin concentrate	cerebrolysin concentrate 2140mg
130202BIJ	cerebrolysin concentrate	cerebrolysin concentrate 2152mg
130502ALQ	cetirizine HCl	cetirizine HCl 1mg
130501ATB	cetirizine HCl	cetirizine HCl 10mg
130601ACH	cetraxate HCl	cetraxate HCl 200mg
131004COS	chloramphenicol	chloramphenicol 5mg
333400COS	chloramphenicol	chloramphenicol 5mg
131001ACH	chloramphenicol	chloramphenicol 250mg
131303CCM	chlorhexidine gluconate	chlorhexidine gluconate 0.05ml
131304CLQ	chlorhexidine gluconate	chlorhexidine gluconate 0.25ml
131501COM	chlormidazole HCl	chlormidazole HCl 50mg
131501CLQ	chlormidazole HCl	chlormidazole HCl 50mg
425801BIJ	chloroprocaine HCl	chloroprocaine HCl 100mg
171601ATB	chloroquine phosphate	chloroquine phosphate 500mg
131701ATB	chlorphenesin carbamate	chlorphenesin carbamate 125mg
131702ATB	chlorphenesin carbamate	chlorphenesin carbamate 250mg
433100ATB	chlorpheniramine maleate	chlorpheniramine maleate 2mg
267700ASY	chlorpheniramine maleate	chlorpheniramine maleate 150㎍
268000ATB	chlorpheniramine maleate	chlorpheniramine maleate 1.5mg
268300ACH	chlorpheniramine maleate	chlorpheniramine maleate 2mg
356600ACS	chlorpheniramine maleate	chlorpheniramine maleate 2mg
396200ATB	chlorpheniramine meleate	chlorpheniramine meleate 1mg
396300ATB	chlorpheniramine meleate	chlorpheniramine meleate 2mg
337100CCM	chlorquinaldol	chlorquinaldol 10mg
262100ATB	chlorthalidone	chlorthalidone 12.5mg
460200ATB	chlorthalidone	chlorthalidone 25mg
302600ATB	cholecalciferol	cholecalciferol 400I.U
388000ACS	cholecalciferol	cholecalciferol 133I.U
412300ATB	cholecalciferol	cholecalciferol 200I.U
409100ACS	cholecalciferol	cholecalciferol 200I.U
302600ATB	cholecalciferol	cholecalciferol 400I.U
302800ATB	cholecalciferol	cholecalciferol 125I.U
302900ATB	cholecalciferol	cholecalciferol 125I.U
132301APD	cholestyramine resin	cholestyramine resin 4g
463502AGN	chondroitin sulfate-iron complex	chondroitin sulfate-iron complex 150mg
463501AGN	chondroitin sulfate-iron complex	chondroitin sulfate-iron complex 300mg
320800BIJ	chromic chloride	chromic chloride 510㎍/10ml
362600BIJ	chromic chloride	chromic chloride 510㎍/30ml
132702ACH	cicletanine HCl	cicletanine HCl 50mg
132801CCM	ciclopirox olamine	ciclopirox olamine 10mg
329300BIJ	cilastatin sodium	cilastatin sodium 250mg
329400BIJ	cilastatin sodium	cilastatin sodium 500mg
133201ATB	cilostazol	cilostazol 100mg
133202ATB	cilostazol	cilostazol 50mg
133303ATB	cimetidine	cimetidine 400mg
133301ATB	cimetidine	cimetidine 200mg
133302ATB	cimetidine	cimetidine 300mg
133301BIJ	cimetidine	cimetidine 200mg
133502BIJ	cimetropium bromide	cimetropium bromide 5mg
133602BIJ	cinepazide maleate	cinepazide maleate 80mg
134001ACH	ciprofibrate	ciprofibrate 100mg
334100CLQ	ciprofloxacin HCl	ciprofloxacin HCl 2.329mg
134101BIJ	ciprofloxacin HCl	ciprofloxacin HCl 100mg
134104BIJ	ciprofloxacin HCl	ciprofloxacin HCl 200mg
134102COS	ciprofloxacin HCl	ciprofloxacin HCl 3.5mg
134105ATB	ciprofloxacin HCl	ciprofloxacin HCl 500mg
134101BIJ	ciprofloxacin HCl	ciprofloxacin HCl 100mg
134104BIJ	ciprofloxacin HCl	ciprofloxacin HCl 200mg
359101BIJ	cisatracurium besylatel	cisatracurium besylatel 5mg
359102BIJ	cisatracurium besylatel	cisatracurium besylatel 20mg
359103BIJ	cisatracurium besylatel	cisatracurium besylatel 150mg
134501BIJ	cisplatin	cisplatin 10mg
134502BIJ	cisplatin	cisplatin 25mg
134503BIJ	cisplatin	cisplatin 50mg
134602BIJ	citicoline	citicoline 250mg
134603BIJ	citicoline	citicoline 500mg
312200ASS	citric acid	citric acid 19.5g
134903ASY	clarithromycin	clarithromycin 25mg
134904ATR	clarithromycin	clarithromycin 500mg
135002ASY	clebopride malate	clebopride malate 85㎍
135001ATB	clebopride malate	clebopride malate 680㎍
294400ACH	clebopride malate	clebopride malate 680㎍
294400ATB	clebopride malate	clebopride malate 680㎍
135001BIJ	clebopride maleate	clebopride maleate 680㎍
135003BIJ	clebopride maleate	clebopride maleate 1.36mg
135202BIJ	clemastine fumarate	clemastine fumarate 2.68mg
135301ASY	clenbuterol HCl	clenbuterol HCl 1㎍
135302ATB	clenbuterol HCl	clenbuterol HCl 20㎍
264700ASY	clenbuterol HCl	clenbuterol HCl 1㎍
264800ATB	clenbuterol HCl	clenbuterol HCl 20㎍
135605BIJ	clindamycin phosphate	clindamycin phosphate 150mg
135601BIJ	clindamycin phosphate	clindamycin phosphate 300mg
135603BIJ	clindamycin phosphate	clindamycin phosphate 600mg
395501ATB	clinofibrate	clinofibrate 200mg
339300COM	clobetasol propionate	clobetasol propionate 500㎍
135801CLQ	clobetasol propionate	clobetasol propionate 466㎍
135802CCM	clobetasol propionate	clobetasol propionate 500㎍
135802COM	clobetasol propionate	clobetasol propionate 500㎍
135901CCM	clobetasone butyrate	clobetasone butyrate 500㎍
136302ATB	clomipramine HCl	clomipramine HCl 25mg
136501ATB	clonidine HCl	clonidine HCl 150㎍
136501BIJ	clonidine HCl	clonidine HCl 150㎍
136601ATB	clonixin lysinate	clonixin lysinate 125mg
136602BIJ	clonixin lysinate	clonixin lysinate 100mg
136901ATB	clopidogrel	clopidogrel 75mg
136901ATB	clopidogrel	clopidogrel 75mg
137401CTB	clotrimazole	clotrimazole 100mg
137403CTB	clotrimazole	clotrimazole 500mg
137402CCM	clotrimazole	clotrimazole 10mg
137402CLQ	clotrimazole	clotrimazole 10mg
342600CCM	clotrimazole	clotrimazole 10mg
414300CCM	clotrimazole	clotrimazole 10mg
346400CCM	clotrimazole	clotrimazole 10mg
310800ACH	cloxacillin sodium	cloxacillin sodium 250mg
310900ACH	cloxacillin sodium	cloxacillin sodium 250mg
137602BIJ	cobamamide	cobamamide 1mg
253200ATB	codeine phosphate	codeine phosphate 8mg
137703ATB	codeine phosphate	codeine phosphate 20mg
137702APD	codeine phosphate	codeine phosphate 1g
313000ATB	codeine phosphate	codeine phosphate 30mg
313100ATB	codeine phosphate	codeine phosphate 60mg
313300ATB	codeine phosphate	codeine phosphate 20mg
320800BIJ	copper sulfate	copper sulfate 39.3mg/10ml
362600BIJ	copper sulfate	copper sulfate 39.3mg/30ml
287800AGN	crude glycyrrhiza extract	crude glycyrrhiza extract 50mg
138502ATB	cyaninoside chloride	cyaninoside chloride 200mg
138502ACS	cyaninoside chloride	cyaninoside chloride 200mg
254400ACH	cyanocobalamin	cyanocobalamin 250㎍
301600ATB	cyanocobalamin	cyanocobalamin 6㎍
327100BIJ	cyanocobalamin	cyanocobalamin 250㎍
138801ATB	cyclofenil	cyclofenil 200mg
138901COS	cyclopentolate HCl	cyclopentolate HCl 10mg
139002BIJ	cyclophosphamide	cyclophosphamide 100mg
139004BIJ	cyclophosphamide	cyclophosphamide 200mg
139005BIJ	cyclophosphamide	cyclophosphamide 500mg
139003BIJ	cyclophosphamide	cyclophosphamide 1g
139101ACH	cycloserine	cycloserine 250mg
139203ALQ	cyclosporine	cyclosporine 10mg
139204ACS	cyclosporine	cyclosporine 25mg
139201ACS	cyclosporine	cyclosporine 100mg
139202BIJ	cyclosporine	cyclosporine 250mg
139603BIJ	cytarabine	cytarabine 40mg
139601BIJ	cytarabine	cytarabine 100mg
139606BIJ	cytarabine	cytarabine 200mg
139604BIJ	cytarabine	cytarabine 500mg
139702BIJ	cytochrome C	cytochrome C 15mg
148003BIJ	d-mannitol	d-mannitol 25g/100ml
148008BIJ	d-mannitol	d-mannitol 62.5g/250ml
335800CLQ	D-sorbitol	D-sorbitol 13.4g
139901BIJ	dacarbazine	dacarbazine 100mg
139902BIJ	dacarbazine	dacarbazine 200mg
139903BIJ	dacarbazine	dacarbazine 500mg
140101BIJ	dactinomycin	dactinomycin 500㎍
140601BIJ	daunorubicin HCl	daunorubicin HCl 20mg
140702BIJ	deferoxamine mesylate	deferoxamine mesylate 2g
140802ATB	deflazacort	deflazacort 30mg
295600ACS	dehydrocholic acid	dehydrocholic acid 25mg
141405CSI	desmopressin acetate	desmopressin acetate 500㎍
141405CSI	desmopressin acetate	desmopressin acetate 500㎍
141402BIJ	desmopressin acetate	desmopressin acetate 4㎍
141601COM	desoxymethasone	desoxymethasone 2.5mg
141902COS	dexamethasone	dexamethasone 1mg
141901ATB	dexamethasone	dexamethasone 500㎍
142101CCM	dexamethasone propionate	dexamethasone propionate 1mg
333400COS	dexamethasone sodium phosphate	dexamethasone sodium phosphate 1mg
142202BIJ	dexamethasone sodium phosphate	dexamethasone sodium phosphate 4.37mg
142201BIJ	dexamethasone sodium phosphate	dexamethasone sodium phosphate 5mg
142301ATB	dexibuprofen	dexibuprofen 300mg
142401BIJ	dexpanthenol	dexpanthenol 500mg
142402COM	dexpanthenol	dexpanthenol 50mg
318600BIJ	dextran-40	dextran-40 50g/500ml
318700BIJ	dextran-40	dextran-40 50g/500ml
319900BIJ	dextran-40	dextran-40 15g/500ml
456200ACS	dextromethorphan Hbr	dextromethorphan Hbr 10mg
451100ATB	dextromethorphan Hbr	dextromethorphan Hbr 15mg
363900ASY	dextromethorphan HBr	dextromethorphan HBr 1mg
433000ATB	dextromethorphan Hbr	dextromethorphan Hbr 15mg
433100ATB	dextromethorphan Hbr	dextromethorphan Hbr 15mg
266700ACH	dextromethorphan Hbr	dextromethorphan Hbr 30mg
356600ACS	dextromethorphan Hbr	dextromethorphan Hbr 20mg
389200BIJ	dextrose	dextrose 25g
446200BIJ	dextrose	dextrose 2.5g
445800BIJ	dextrose	dextrose 5g
446100BIJ	dextrose	dextrose 5g
445900BIJ	dextrose	dextrose 10g
446900BIJ	dextrose	dextrose 10g
427500BIJ	dextrose	dextrose 12.5g
421300BIJ	dextrose	dextrose 12.5g
427600BIJ	dextrose	dextrose 25g
421400BIJ	dextrose	dextrose 25g
429700BIJ	dextrose	dextrose 2.5g
429400BIJ	dextrose	dextrose 2.5g
429300BIJ	dextrose	dextrose 25g
429600BIJ	dextrose	dextrose 25g
445500BIJ	dextrose	dextrose 2.5g
444000BIJ	dextrose	dextrose 2.5g
444400BIJ	dextrose	dextrose 2.5g
444800BIJ	dextrose	dextrose 2.5g
422000BIJ	dextrose	dextrose 2.5g
445200BIJ	dextrose	dextrose 5g
443800BIJ	dextrose	dextrose 5g
421700BIJ	dextrose	dextrose 5g
444500BIJ	dextrose	dextrose 5g
421900BIJ	dextrose	dextrose 5g
445300BIJ	dextrose	dextrose 10g
443900BIJ	dextrose	dextrose 10g
444100BIJ	dextrose	dextrose 10g
444600BIJ	dextrose	dextrose 10g
444900BIJ	dextrose	dextrose 10g
445400BIJ	dextrose	dextrose 12.5g
421500BIJ	dextrose	dextrose 12.5g
444200BIJ	dextrose	dextrose 12.5g
421800BIJ	dextrose	dextrose 12.5g
445000BIJ	dextrose	dextrose 12.5g
422200BIJ	dextrose	dextrose 25g
421600BIJ	dextrose	dextrose 25g
444300BIJ	dextrose	dextrose 25g
444700BIJ	dextrose	dextrose 25g
445100BIJ	dextrose	dextrose 25g
422100BIJ	dextrose	dextrose 50g
142706BIJ	dextrose	dextrose 2.5g/50ml
142702BIJ	dextrose	dextrose 75g/500ml
142715BIJ	dextrose	dextrose 60g/300ml
142716BIJ	dextrose	dextrose 100g/500ml
142725BIJ	dextrose	dextrose 8g/20ml
142705BIJ	dextrose	dextrose 10g/20ml
142707BIJ	dextrose	dextrose 350g/500ml
318600BIJ	dextrose	dextrose 25g/500ml
318900BIJ	dextrose	dextrose 25g/500ml
319600BIJ	dextrose	dextrose 50g/1ℓ
450800APD	dextrose	dextrose 798.2mg
349100BIJ	dextrose	dextrose 33.3g/1ℓ
349200BIJ	dextrose	dextrose 37.5g/1ℓ
349300BIJ	dextrose	dextrose 40g/1ℓ
348900BIJ	dextrose	dextrose 25g/1ℓ
321600BIS	dextrose	dextrose 50g/2ℓ
366600BIS	dextrose	dextrose 1100g/2ℓ
359800BIS	dextrose	dextrose 6.05g/5ℓ
359900BIS	dextrose	dextrose 6.05g/5ℓ
380900BIS	dextrose	dextrose 2750g/5l
400700BIS	dextrose	dextrose 175g/5ℓ
373600BIS	dextrose	dextrose 875g/10ℓ
323100BIS	dextrose	dextrose 1400g/20ℓ
323600BIS	dextrose	dextrose 1400g/20ℓ
323900BIS	dextrose	dextrose 1750g/20ℓ
322900BIS	dextrose anhydrous	dextrose anhydrous 350g/10ℓ
450500BIS	dextrose monohydrare	dextrose monohydrare 5.5g/5ℓ
449500BIS	dextrose monohydrate	dextrose monohydrate 9.9g/500ml
449400BIS	dextrose monohydrate	dextrose monohydrate 9.9g/500ml
450600BIS	dextrose monohydrate	dextrose monohydrate 5.5g/5ℓ
450700BIS	dextrose monohydrate	dextrose monohydrate 5.5g/5ℓ
450900BIS	dextrose monohydrate	dextrose monohydrate 41.25g
464200BIS	dextrose monohydrate	dextrose monohydrate 49.5g
324300BIS	dextrose monohydrate	dextrose monohydrate 24.75g/1.5ℓ
324400BIS	dextrose monohydrate	dextrose monohydrate 41.25g/1.5ℓ
324500BIS	dextrose monohydrate	dextrose monohydrate 66g/1.5ℓ
350600BIS	dextrose monohydrate	dextrose monohydrate 33g/2ℓ
350700BIS	dextrose monohydrate	dextrose monohydrate 33g/2ℓ
350900BIS	dextrose monohydrate	dextrose monohydrate 55g/2ℓ
351000BIS	dextrose monohydrate	dextrose monohydrate 55g/2ℓ
351200BIS	dextrose monohydrate	dextrose monohydrate 88g/2ℓ
351300BIS	dextrose monohydrate	dextrose monohydrate 88g/2ℓ
352500BIS	dextrose monohydrate	dextrose monohydrate 55g/2ℓ
352900BIS	dextrose monohydrate	dextrose monohydrate 88g/2ℓ
350800BIS	dextrose monohydrate	dextrose monohydrate 82.5g/5ℓ
351100BIS	dextrose monohydrate	dextrose monohydrate 137.5g/5ℓ
351400BIS	dextrose monohydrate	dextrose monohydrate 220g/5ℓ
353100BIS	dextrose monohydrate	dextrose monohydrate 220g/5ℓ
464100BIS	dextrose monohydrate	dextrose monohydrate 62.5g
463800BIS	dextrose monohydrate	dextrose monohydrate 116.875g
464400BIS	dextrose monohydrate	dextrose monohydrate 75g
464300BIS	dextrose monohydrate	dextrose monohydrate 140.25g
142902ATB	diazepam	diazepam 2mg
142903ATB	diazepam	diazepam 5mg
142902ATB	diazepam	diazepam 2mg
142903ATB	diazepam	diazepam 5mg
142903BIJ	diazepam	diazepam 5mg
335600CLQ	dibasic sodium phosphate	dibasic sodium phosphate 60mg
312400ALQ	dibasic sodium phosphate	dibasic sodium phosphate 180mg
143002BIJ	dibekacin sulfate	dibekacin sulfate 50mg
143001BIJ	dibekacin sulfate	dibekacin sulfate 100mg
417701CLQ	dichloro-m-xylenol	dichloro-m-xylenol 20mg
143301CCM	diclofenac diethylammonium	diclofenac diethylammonium 11.6mg
143303CPL	diclofenac diethylammonium	diclofenac diethylammonium 60mg
143402ATB	diclofenac potassium	diclofenac potassium 50mg
143504ATB	diclofenac sodium	diclofenac sodium 25mg
251900ATB	diclofenac sodium	diclofenac sodium 50mg
254400ACH	diclofenac sodium	diclofenac sodium 25mg
143502BIJ	diclofenac sodium	diclofenac sodium 75mg
143505COS	diclofenac sodium	diclofenac sodium 1mg
143601BIJ	diclofenac-β-dimethyl-aminoethanol	diclofenac-β-dimethyl-aminoethanol 90mg
326800BIJ	diethanolamine glucuronate	diethanolamine glucuronate 200mg
369502BIJ	diethylene triamine	diethylene triamine 5-acetic acid 12mg
369501BIJ	diethylene triamine	diethylene triamine 5-acetic acid 20mg
370400BIJ	diethylenetriamine	diethylenetriamine 5 acetic acid 0.2mg
370500BIJ	diethylenetriamine	diethylenetriamine 5 acetic acid 1mg
383300BIJ	diethylenetriamine	diethylenetriamine 5 acetic acid 9.5mg
383400BIJ	diethylenetriamine	diethylenetriamine 5 acetic acid 9.5mg
144101ATB	difemerine HCl	difemerine HCl 2.5mg
144102BIJ	difemerine HCl	difemerine HCl 1mg
144103BIJ	difemerine HCl	difemerine HCl 2mg
144401CCM	diflorasone diacetate	diflorasone diacetate 500㎍
144501COM	diflucortolone valerate	diflucortolone valerate 3mg
345500CCM	diflucortolone valerate	diflucortolone valerate 1mg
144602ATB	diflunisal lysine	diflunisal lysine 400mg
144801BIJ	digoxin	digoxin 250㎍
144803BIJ	digoxin	digoxin 500㎍
263000ATB	dihydralazine sulfate	dihydralazine sulfate 10mg
396100ALQ	dihydrocodeine phosphate	dihydrocodeine phosphate 0.5mg
396000ALQ	dihydrocodeine phosphate	dihydrocodeine phosphate 1mg
396200ATB	dihydrocodeine phosphate	dihydrocodeine phosphate 2.5mg
396300ATB	dihydrocodeine phosphate	dihydrocodeine phosphate 5mg
267700ASY	dihydrocodeine tartrate	dihydrocodeine tartrate 500㎍
268000ATB	dihydrocodeine tartrate	dihydrocodeine tartrate 5mg
144901ATR	dihydrocodeine tartrate	dihydrocodeine tartrate 60mg
263900ATB	dihydroergocristine mesylate	dihydroergocristine mesylate 600㎍
315400BIJ	dihydroergocristine mesylate	dihydroergocristine mesylate 312.5㎍
145201BIJ	dihydroergotamine mesylate	dihydroergotamine mesylate 1mg
145201ATB	dihydroergotamine mesylate	dihydroergotamine mesylate 1mg
145301ATB	dihydroxyaluminum allantoinate	dihydroxyaluminum allantoinate 100mg
145301AGN	dihydroxyaluminum allantoinate	dihydroxyaluminum allantoinate 100mg
145504AGN	dihydroxydibutylether	dihydroxydibutylether 25mg
145505ALQ	dihydroxydibutylether	dihydroxydibutylether 125mg
145503AGN	dihydroxydibutylether	dihydroxydibutylether 125mg
145501ACS	dihydroxydibutylether	dihydroxydibutylether 250mg
145705ACR	diltiazem HCl	diltiazem HCl 240mg
145702BIJ	diltiazem HCl	diltiazem HCl 10mg
145704BIJ	diltiazem HCl	diltiazem HCl 50mg
369402BIJ	dimercaptosuccinic acid	dimercaptosuccinic acid 1mg
369402BIJ	dimercaptosuccinic acid	dimercaptosuccinic acid 1mg
419101CLQ	dimethyl sulfoxide	dimethyl sulfoxide 27g
146201BIJ	dimorpholamine	dimorpholamine 25mg
146401ASS	dioctahedral smectite	dioctahedral smectite 150mg
146402APD	dioctahedral smectite	dioctahedral smectite 3g
146501ASS	diomagnite	diomagnite 223.53mg
146501ASS	diomagnite	diomagnite 223.53mg
146801BIJ	diphenylhydantoin sodium	diphenylhydantoin sodium 100mg
146802BIJ	diphenylhydantoin sodium	diphenylhydantoin sodium 250mg
146903ACS	diphenylpyraline HCl	diphenylpyraline HCl 50mg
146901BIJ	diphenylpyraline HCl	diphenylpyraline HCl 2mg
147001COS	dipivefrin HCl	dipivefrin HCl 1mg
269400ATB	diprophyllin	diprophyllin 150mg
266700ACH	diprophylline	diprophylline 100mg
268300ACH	diprophylline	diprophylline 25mg
295800ATB	dizet	dizet 100 10mg
296900ATB	dl-chlorpheniramine maleate	dl-chlorpheniramine maleate 2mg
396500ASY	dl-methylephedrine HCI	dl-methylephedrine HCI 1.25mg
396100ALQ	dl-methylephedrine HCI	dl-methylephedrine HCI 1.25mg
396000ALQ	dl-methylephedrine HCI	dl-methylephedrine HCI 2.5mg
396200ATB	dl-methylephedrine HCI	dl-methylephedrine HCI 6.25mg
396300ATB	dl-methylephedrine HCI	dl-methylephedrine HCI 12.5mg
379201ACH	dl-tocopherol nicotinate	dl-tocopherol nicotinate 100mg
148102ACH	dobesilate calcium	dobesilate calcium 500mg
148201BIJ	dobutamine HCl	dobutamine HCl 250mg
389200BIJ	dobutamine HCl	dobutamine HCl 250mg
148403ASS	domperidone	domperidone 1mg
148402ATB	domperidone	domperidone 10mg
148501ATB	domperidone maleate	domperidone maleate 12.72mg
148703BIJ	dopamine HCl	dopamine HCl 50mg
148701BIJ	dopamine HCl	dopamine HCl 200mg
429700BIJ	dopamine HCl	dopamine HCl 100mg
429400BIJ	dopamine HCl	dopamine HCl 200mg
429300BIJ	dopamine HCl	dopamine HCl 500mg
429600BIJ	dopamine HCl	dopamine HCl 1g
149001BIJ	doxapram HCl monohydrate	doxapram HCl monohydrate 100mg
149002BIJ	doxapram HCl monohydrate	doxapram HCl monohydrate 400mg
149101ATB	doxazocin mesylate	doxazocin mesylate 1mg
149102ATB	doxazocin mesylate	doxazocin mesylate 2mg
149301ACH	doxifluridine	doxifluridine 100mg
149302ACH	doxifluridine	doxifluridine 200mg
149401BIJ	doxorubicin HCl	doxorubicin HCl 10mg
149402BIJ	doxorubicin HCl	doxorubicin HCl 50mg
149403BIJ	doxorubicin HCl	doxorubicin HCl 20mg
149501ACH	doxycycline	doxycycline 100mg
149703ACH	doxycycline hyclate	doxycycline hyclate 50mg
149703ACR	doxycycline hyclate	doxycycline hyclate 50mg
149701ACR	doxycycline hyclate	doxycycline hyclate 100mg
149701ACH	doxycycline hyclate	doxycycline hyclate 100mg
149701ATB	doxycycline hyclate	doxycycline hyclate 100mg
149701BIJ	doxycycline hyclate	doxycycline hyclate 100mg
149801ATB	doxylamine succinate	doxylamine succinate 25mg
363900ASY	doxylamine succinate	doxylamine succinate 0.42mg
268400ACH	doxylamine succinate	doxylamine succinate 5mg
149901ATB	dried hyperici ext.	dried hyperici ext. 250mg
396500ASY	dyphylline	dyphylline 2.5mg
263600ACH	eburnamonine	eburnamonine 10mg
263700ACH	eburnamonine	eburnamonine 20mg
150701BIJ	eburnamonine	eburnamonine 15mg
342800CCM	econazole nitrate	econazole nitrate 10mg
342800COM	econazole nitrate	econazole nitrate 10mg
343600CCM	econazole nitrate	econazole nitrate 10mg
151101BIJ	elcatonin	elcatonin 10I.U
151103BIJ	elcatonin	elcatonin 40I.U
151401ATB	emepronium bromide	emepronium bromide 100mg
151603ATB	enalapril maleate	enalapril maleate 5mg
151601ATB	enalapril maleate	enalapril maleate 10mg
453600ATB	enalapril maleate	enalapril maleate 5mg
453700ATB	enalapril maleate	enalapril maleate 10mg
440300ATB	enalapril maleate	enalapril maleate 20mg
152201BIJ	enviomycin sulfate	enviomycin sulfate 1g
152301ATB	eperisone HCl	eperisone HCl 50mg
313700BIJ	epinephrine bitartrate	epinephrine bitartrate 182㎍
313800BIJ	epinephrine bitartrate	epinephrine bitartrate 182㎍
314300BIJ	epinephrine bitartrate	epinephrine bitartrate 33㎍
314500BIJ	epinephrine bitartrate	epinephrine bitartrate 41㎍
152601BIJ	epinephrine HCl	epinephrine HCl 1mg
152602BIJ	epinephrine HCl	epinephrine HCl 5mg
152701BIJ	epirubicin HCl	epirubicin HCl 10mg
152702BIJ	epirubicin HCl	epirubicin HCl 50mg
153001BIJ	eptazocine	eptazocine 15mg
303000ATB	ergocalciferol	ergocalciferol 125I.U
303200ATB	ergocalciferol	ergocalciferol 118㎍
153203BIJ	ergoloid mesylate	ergoloid mesylate 300㎍
153301BIJ	ergometrine maleate	ergometrine maleate 200㎍
153302BIJ	ergometrine maleate	ergometrine maleate 500㎍
251800ATB	ergotamine tartrate	ergotamine tartrate 1mg
154003ACH	erythromycin	erythromycin 125mg
154002ACH	erythromycin	erythromycin 500mg
153502ASY	erythromycin estolate	erythromycin estolate 25mg
153601AGN	erythromycin propionate	erythromycin propionate 250mg
153602AGN	erythromycin propionate	erythromycin propionate 500mg
154103BIJ	erythromycine lactobionate	erythromycine lactobionate 500mg
154205BIJ	erythropoietin-α	erythropoietin-α 4000I.U
154304BIJ	erythropoietin-β	erythropoietin-β 500I.U
154301BIJ	erythropoietin-β	erythropoietin-β 1000I.U
154302BIJ	erythropoietin-β	erythropoietin-β 2000I.U
154303BIJ	erythropoietin-β	erythropoietin-β 5000I.U
459401BIJ	esomeprazol sodium	esomeprazol sodium 40mg
154602CPC	estradiol	estradiol 2.3mg
154605CPC	estradiol	estradiol 3mg
154606CPC	estradiol	estradiol 4mg
336000CPC	estradiol	estradiol 4mg/1매
336000CPC	estradiol	estradiol 10mg/1매
154801BIJ	estradiol cypionate	estradiol cypionate 5mg
154904CPC	estradiol hemihydrate	estradiol hemihydrate 1.5mg
154905CPC	estradiol hemihydrate	estradiol hemihydrate 2.25mg
154906CPC	estradiol hemihydrate	estradiol hemihydrate 3mg
154907CSI	estradiol hemihydrate	estradiol hemihydrate 9mg
297600ATB	estradiol valerate	estradiol valerate 2mg/1정
297600ATB	estradiol valerate	estradiol valerate 2mg/1정
155101ACH	estramustine sod. phosphate	estramustine sod. phosphate 140mg
155701ATB	ethamsylate	ethamsylate 250mg
155701BIJ	ethamsylate	ethamsylate 250mg
155801BIJ	ethanolaminoleate	ethanolaminoleate 250mg
155802BIJ	ethanolaminoleate	ethanolaminoleate 500mg
156301ATB	ethylphenylephrine HCl	ethylphenylephrine HCl 5mg
156503ATB	etizolam	etizolam 250㎍
156602ACH	etodolac	etodolac 200mg
156605ACH	etodolac	etodolac 300mg
